Country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Australia,..,..,..,..,..,..,..,..,..,..,9.3,..,..,..,..,..,..,..,..,..,7.4,7.6,7.7,7.5,7.0,7.3,7.2,7.0,7.1,7.0,6.9,6.6,6.6,6.4,6.2,6.1,5.8,5.8,5.9,6.0,5.9,5.3,5.4,5.3,5.5,5.4,5.5,5.5,5.5,5.5,5.4,5.4,5.4,5.1,5.2,4.8,4.9,4.6
Austria,8.3,8.5,8.4,8.1,8.0,7.8,7.6,7.6,7.6,7.3,7.1,6.4,7.6,6.5,6.5,6.1,6.0,6.0,5.9,6.0,6.2,6.3,6.3,7.4,6.1,5.9,6.1,10.1,4.7,5.6,5.9,5.7,5.8,5.7,5.5,5.4,5.3,5.2,4.9,4.9,4.9,4.3,4.5,4.6,4.7,4.8,4.5,4.3,4.2,4.3,4.5,4.3,4.6,4.3,4.4,5.1,5.1,5.1
Belgium,7.1,6.8,6.7,6.7,6.9,7.0,7.2,7.1,7.2,7.5,7.6,7.6,7.7,7.6,7.5,7.3,7.2,7.0,6.8,6.6,6.7,6.5,6.3,6.1,6.0,5.8,5.8,5.7,6.0,6.4,6.5,6.1,5.8,5.4,5.1,5.1,5.0,4.7,4.4,4.3,4.4,4.1,3.9,4.0,4.2,4.1,4.2,4.3,4.3,4.0,3.9,3.7,3.8,3.4,3.6,4.0,3.9,3.9
Canada,7.3,7.0,7.0,6.9,7.2,7.4,7.8,8.1,8.3,8.7,8.8,8.9,9.2,9.0,8.9,8.7,8.4,8.0,7.9,7.8,7.8,7.7,7.5,7.3,7.2,7.1,6.7,6.9,7.0,7.0,6.8,6.1,5.8,5.6,5.5,5.5,5.3,5.1,5.1,5.1,5.1,4.7,4.7,4.7,4.6,4.6,4.6,4.5,4.4,..,..,..,..,..,..,..,..,..
Chile,..,..,..,..,..,..,..,..,..,..,8.1,..,..,..,..,..,..,..,..,..,..,..,..,..,..,7.5,..,..,..,..,..,..,6.6,6.7,6.5,6.1,5.8,5.3,5.0,4.6,4.4,4.1,3.9,3.6,3.3,3.3,3.5,3.5,3.3,3.3,3.5,3.8,3.7,3.5,3.6,3.4,3.4,..
Czech Republic,7.7,7.7,8.0,8.3,8.3,8.4,8.6,8.9,9.0,9.1,9.2,9.3,9.7,10.0,9.8,9.7,9.4,9.1,8.8,8.2,7.6,7.5,7.5,7.8,7.9,7.8,7.9,8.1,7.9,7.8,8.8,7.0,7.2,6.4,5.7,5.3,5.2,5.6,5.3,5.2,5.4,5.1,5.2,4.8,5.0,5.1,5.2,5.5,5.1,4.6,4.5,4.3,4.3,4.1,4.3,4.6,4.8,5.0
Denmark,7.8,7.9,8.1,8.2,8.4,8.8,8.6,8.5,8.1,8.0,7.4,6.6,6.2,6.1,6.6,6.3,6.1,6.3,5.6,5.4,5.2,5.0,4.8,5.3,5.6,5.7,6.0,6.1,6.3,6.0,6.1,6.0,6.2,6.1,6.8,6.6,6.8,6.5,6.5,6.7,7.2,6.8,6.9,6.5,7.0,6.7,6.7,6.7,6.8,6.0,5.6,4.9,5.1,4.9,5.0,5.1,5.4,5.5
Estonia,10.0,9.7,8.9,8.7,8.5,8.2,8.6,8.8,8.9,9.1,9.1,9.1,8.5,8.7,8.7,8.7,8.6,8.7,8.6,8.7,8.8,8.6,8.2,8.6,8.3,8.4,8.4,8.7,8.3,8.1,7.5,6.6,5.8,5.2,5.0,4.9,3.9,4.0,3.9,4.0,3.9,4.1,4.2,4.2,4.4,4.5,5.2,5.2,4.6,4.0,3.8,4.1,4.5,4.3,4.7,5.2,4.8,4.9
Finland,7.4,7.7,7.6,7.4,7.6,7.9,8.4,9.0,8.7,8.8,8.8,8.2,7.6,7.5,7.4,6.7,6.8,6.5,6.3,6.1,6.1,6.3,6.3,6.1,5.8,5.3,5.2,5.3,5.2,4.9,5.0,4.9,4.7,4.9,4.9,4.6,..,4.6,4.7,4.7,5.1,4.8,5.2,5.0,5.6,5.6,5.4,5.6,5.8,5.6,5.6,5.3,5.3,4.6,4.5,4.5,4.5,4.8
France,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4.4,4.4,4.8,4.9,4.6,4.9,5.0,4.8,4.6,4.6,4.5,4.5,4.3,4.3,4.1,3.9,3.9,3.6,3.7,3.6,3.6,3.6,3.5,3.5
